summary,start,end,categories,description,zones 
Lancement du Mois sans Tabac,2006-11-01,,Santé,Lancé en France en 2016 par Santé Publique France.,
Toussaint,2006-11-01,,Jours fériés|Christianisme,"Fête de tous les saints, instituée par le pape Grégoire IV en 835. En France, la tradition de fleurir les tombes avec des chrysanthèmes s'est greffée dessus — ces fleurs sont désormais intimement liées à ce jour.",
Journée nationale de l'arbre,2006-11-02,,Environnement,Célébrée chaque premier jeudi de novembre.,
Pleine Lune,2006-11-05,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Armistice 1918,2006-11-11,,Jours fériés,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale après quatre ans de combats. Jour férié depuis 1922. Chaque commune française a son monument aux morts — 36 000 érigés entre 1920 et 1925.",
Armistice de 1918 — Journée du Souvenir,2006-11-11,,Jours fériés|Mémoire|Dates spéciales,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale.",
Dernier Quartier,2006-11-12,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Beaujolais Nouveau,2006-11-16,,Gastronomie|Culture|Commercial,"Chaque troisième jeudi de novembre, le Beaujolais Nouveau est mis en vente.",
Journée internationale des droits de l'enfant,2006-11-20,,Société,Commémore l'adoption de la Convention des Nations Unies relative aux droits de l'enfant.,
Nouvelle Lune,2006-11-20,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2006-11-28,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête de la Bretagne,2006-11-30,,Culture|Société,Célébrée le 30 novembre (Saint-André) depuis les années 1990.,
Journée mondiale des personnes handicapées,2006-12-03,,Société,Instaurée par l'ONU en 1992.,
Journée mondiale du Bénévolat,2006-12-05,,Société,Créée par l'ONU en 1985.,
Pleine Lune,2006-12-05,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Saint-Nicolas,2006-12-06,,Christianisme|Culture|Fêtes,"Fête de Nicolas de Myre, évêque du IVe siècle devenu patron des enfants.",
Journée de la Laïcité,2006-12-09,,Société|Dates spéciales,Commémore la loi du 9 décembre 1905 séparant les Églises de l'État.,
Dernier Quartier,2006-12-12,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2006-12-20,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Début de l'Hiver — Solstice d'hiver,2006-12-22,,Saisons|Astronomie,Le solstice d'hiver est le jour le plus court de l'année.,
Jour le plus court de l'année,2006-12-22,,Saisons|Astronomie,Le 22 December est le jour le plus court de l'année 2006.,
Noël,2006-12-25,,Jours fériés|Christianisme|Fêtes,"Célèbre la naissance du Christ. La date du 25 décembre a été fixée au IVe siècle sur une fête solaire romaine préexistante. Le sapin, la bûche et les cadeaux sont des traditions popularisées bien plus tard, au XIXe siècle.",
Saint-Étienne,2006-12-26,,Jours fériés|Christianisme,"Le 26 décembre est férié uniquement en Alsace-Moselle (depts 57, 67, 68). Fête de saint Étienne, premier martyr chrétien.",AM
Premier Quartier,2006-12-27,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Dernier jour de l'année,2006-12-31,,Dates spéciales,Clôture de l'année civile 2006.,
Saint-Sylvestre / Réveillon du Nouvel An,2006-12-31,,Fêtes|Culture,"Dernier jour de l'année, nommé d'après le pape Sylvestre Ier mort ce jour en 335.",
Jour de l'an,2007-01-01,,Jours fériés,Premier jour de l'année civile grégorienne. La tradition des vœux existe depuis l'Antiquité romaine. Le gui porte-bonheur vient d'une coutume druidique bien antérieure au christianisme.,
Pleine Lune,2007-01-03,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Épiphanie,2007-01-06,,Christianisme|Culture|Gastronomie,"Célèbre la visite des Rois Mages à Jésus, 12 jours après Noël.",
Dernier Quartier,2007-01-11,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2007-01-19,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée internationale de l'Éducation,2007-01-24,,Éducation|Société,Proclamée par l'ONU en 2019.,
Premier Quartier,2007-01-26,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée nationale de la Mémoire de la Shoah,2007-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Chandeleur,2007-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2007-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Pleine Lune,2007-02-02,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale contre le cancer,2007-02-04,,Santé,Initiée par l'Union Internationale Contre le Cancer depuis 2000.,
Dernier Quartier,2007-02-10,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Saint-Valentin,2007-02-14,,Fêtes|Culture,Fête des amoureux le 14 février.,
Nouvelle Lune,2007-02-17,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Mardi Gras,2007-02-20,,Christianisme|Culture|Fêtes,"Dernier jour avant le Carême, où la tradition voulait qu'on fasse bombance avant l'abstinence.",
Début du Carême,2007-02-21,,Christianisme,"Le Carême commence le Mercredi des Cendres, 46 jours avant Pâques.",
Premier Quartier,2007-02-24,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Salon de l'Agriculture — Ouverture,2007-02-24,,Gastronomie|Agriculture|Culture,Le Salon International de l'Agriculture se tient chaque fin février à Paris.,
Fête des Grands-Mères,2007-03-04,,Fêtes|Culture,Créée en 1987 par la marque de café Grand'Mère.,
Pleine Lune,2007-03-04,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée internationale des femmes,2007-03-08,,Société,Issue des luttes ouvrières du début du XXe siècle en Europe et aux États-Unis.,
Dernier Quartier,2007-03-12,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Saint-Patrick,2007-03-17,,Culture|Fêtes,"Fête nationale irlandaise le 17 mars, commémorant la mort de saint Patrick (461).",
Nouvelle Lune,2007-03-19,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Début du Printemps — Équinoxe de printemps,2007-03-21,,Saisons|Astronomie,L'équinoxe de printemps marque le début astronomique du printemps.,
Journée nationale de lutte contre les discriminations,2007-03-21,,Société,Créée par l'ONU en 1966 en mémoire du massacre de Sharpeville.,
Journée mondiale de l'eau,2007-03-22,,Environnement|Société,Proclamée par l'ONU en 1993.,
Passage à l'heure d'été,2007-03-25,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres avancent d'une heure (2h → 3h).",
Premier Quartier,2007-03-25,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Dimanche des Rameaux,2007-04-01,,Christianisme,Ouvre la Semaine Sainte en rappelant l'entrée triomphale de Jésus à Jérusalem.,
Poisson d'avril,2007-04-01,,Culture,Journée des farces et des canulars.,
Pleine Lune,2007-04-02,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Vendredi Saint,2007-04-06,,Jours fériés|Christianisme,"Commémore la crucifixion du Christ. Jour férié uniquement en Alsace-Moselle (départements 57, 67, 68) en vertu du régime concordataire.",AM
Vendredi Saint,2007-04-06,,Christianisme,Commémore la crucifixion du Christ. Non férié en France depuis la loi de 1905 — sauf en Alsace-Moselle.,
Journée mondiale de la Santé,2007-04-07,,Santé,Commémore la fondation de l'OMS le 7 avril 1948.,
Pâques,2007-04-08,,Christianisme,Fête chrétienne célébrant la résurrection du Christ. Sa date varie chaque année car elle suit le calendrier lunaire.,
Lundi de Pâques,2007-04-09,,Jours fériés|Christianisme,"Jour férié qui prolonge le dimanche de Pâques. La tradition des œufs vient du Carême : l'Église interdisait d'en manger pendant 40 jours, on offrait donc à Pâques ceux accumulés.",
Dernier Quartier,2007-04-10,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2007-04-17,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Jour de la Terre,2007-04-22,,Environnement|Société,Né le 22 avril 1970 après une marée noire en Californie.,
Premier Quartier,2007-04-24,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pont possible — Fête du Travail,2007-04-30,,Ponts / Congés,Fête du Travail tombe un mardi le 01/05/2007. Le lundi 30/04/2007 est un pont potentiel — vérifiez auprès de votre employeur.,
Fête du Travail,2007-05-01,,Jours fériés|Société,"Commémore la grève de Chicago du 1er mai 1886 pour les 8 heures de travail, réprimée dans le sang. Férié et chômé en France depuis 1947. La tradition d'offrir du muguet vient d'une coutume de Charles IX datant de 1561.",
Pleine Lune,2007-05-02,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Pont possible — Fête de la Victoire,2007-05-07,,Ponts / Congés,Fête de la Victoire tombe un mardi le 08/05/2007. Le lundi 07/05/2007 est un pont potentiel — vérifiez auprès de votre employeur.,
Fête de la Victoire 1945,2007-05-08,,Jours fériés,"Le 8 mai 1945, l'Allemagne nazie signe sa capitulation sans condition, mettant fin à la guerre en Europe. Férié depuis 1953, supprimé par Giscard en 1975, puis rétabli par Mitterrand en 1981.",
Abolition de l'esclavage en France — Commémoration,2007-05-10,,Mémoire|Société,Journée nationale instaurée par la loi Taubira de 2001.,
Dernier Quartier,2007-05-10,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Festival de Cannes — Ouverture,2007-05-14,,Culture|Cinéma,"Le Festival International du Film de Cannes, créé en 1946.",
Nouvelle Lune,2007-05-16,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Ascension,2007-05-17,,Jours fériés|Christianisme,"Fête chrétienne commémorant la montée du Christ au ciel, 40 jours après Pâques. Toujours un jeudi, ce qui en fait naturellement un pont avec le vendredi.",
Pont possible — Ascension,2007-05-18,,Ponts / Congés,Ascension tombe un jeudi le 17/05/2007. Le vendredi 18/05/2007 est un pont potentiel — vérifiez auprès de votre employeur.,
Nuit des Musées,2007-05-19,,Culture,Créée en France en 2005 et étendue à toute l'Europe.,
Journée mondiale de la biodiversité,2007-05-22,,Environnement,Commémore l'adoption de la Convention sur la Diversité Biologique à Rio.,
Premier Quartier,2007-05-23,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête des Voisins,2007-05-25,,Société,Créée en 2000 pour lutter contre l'isolement urbain.,
Journée nationale de la Résistance,2007-05-27,,Mémoire|Société,"Le 27 mai 1943, Jean Moulin préside la première réunion secrète du CNR.",
Pentecôte,2007-05-27,,Christianisme,"Célèbre la descente de l'Esprit Saint sur les apôtres, 50 jours après Pâques.",
Lundi de Pentecôte,2007-05-28,,Christianisme|Jours fériés,Jour férié désigné depuis 2004 Journée de solidarité envers les personnes âgées.,
Journée mondiale sans tabac,2007-05-31,,Santé,Lancée par l'OMS en 1987.,
Pleine Lune,2007-06-01,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Fête des Mères,2007-06-03,,Fêtes|Culture,"Célébrée le dernier dimanche de mai, sauf si c'est la Pentecôte.",
Débarquement en Normandie — Commémoration du Jour J,2007-06-06,,Mémoire|Dates spéciales,"Le 6 juin 1944, 156 000 soldats alliés débarquent sur les plages de Normandie.",
Dernier Quartier,2007-06-08,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale de l'océan,2007-06-08,,Environnement,Proposée lors du Sommet de la Terre de Rio en 1992.,
Nouvelle Lune,2007-06-15,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Fête des Pères,2007-06-17,,Fêtes|Culture,"Née aux États-Unis en 1910, introduite en France dans les années 1950.",
Appel du 18 juin 1940 — Anniversaire,2007-06-18,,Mémoire|Dates spéciales,"Le 18 juin 1940, de Gaulle lance depuis Londres un appel à la Résistance sur la BBC.",
Début de l'Été — Solstice d'été,2007-06-21,,Saisons|Astronomie,Le solstice d'été est le jour le plus long de l'année.,
Fête de la Musique,2007-06-21,,Culture|Fêtes,Créée en 1982 par le ministre Jack Lang.,
Jour le plus long de l'année,2007-06-21,,Saisons|Astronomie,Le 21 June est le jour le plus long de l'année 2007.,
Premier Quartier,2007-06-22,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête du Cinéma,2007-06-24,,Culture|Cinéma,"Créée en 1985, elle propose chaque fin juin des places à tarif réduit.",
Pleine Lune,2007-06-30,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Milieu de l'année,2007-07-02,,Dates spéciales,Ce jour marque le point médian exact de l'année 2007.,
Festival d'Avignon — Ouverture,2007-07-05,,Culture|Théâtre,Créé par Jean Vilar en 1947 dans la cour du Palais des Papes.,
Dernier Quartier,2007-07-07,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Commémoration de la Rafle du Vél d'Hiv,2007-07-08,,Mémoire|Société,"Les 16-17 juillet 1942, la police française arrêta 13 152 Juifs à Paris.",
Fête Nationale,2007-07-14,,Jours fériés|Société|Dates spéciales,Commémore la prise de la Bastille le 14 juillet 1789.,
Fête nationale,2007-07-14,,Jours fériés,"Commémore la prise de la Bastille le 14 juillet 1789, symbole de la Révolution française. Jour férié depuis 1880. Défilé militaire sur les Champs-Élysées, bals des pompiers et feux d'artifice dans toute la France.",
Nouvelle Lune,2007-07-14,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2007-07-22,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2007-07-30,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Nuit des Étoiles,2007-08-04,,Astronomie|Éducation|Culture,Organisée chaque premier week-end d'août par l'Association Française d'Astronomie depuis 1991.,
Dernier Quartier,2007-08-05,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2007-08-13,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Assomption,2007-08-15,,Jours fériés,"Célèbre l'élévation de la Vierge Marie au ciel. Fête chrétienne ancienne, jour férié en France depuis le Concordat de 1802. Elle tombe en plein cœur de l'été, au milieu des grandes vacances.",
Assomption de Marie,2007-08-15,,Christianisme|Jours fériés,Célèbre l'élévation de la Vierge Marie au ciel.,
Premier Quartier,2007-08-21,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2007-08-28,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Braderie de Lille,2007-09-01,,Culture|Commerce,"Plus grande braderie d'Europe, organisée le premier week-end de septembre à Lille.",
Rentrée des classes,2007-09-02,,Éducation|Société,La rentrée de septembre mobilise 12 millions d'élèves et 870 000 enseignants en France.,
Dernier Quartier,2007-09-04,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2007-09-11,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journées du Patrimoine,2007-09-15,,Culture|Société,"Créées en France en 1984 par Jack Lang, étendues à toute l'Europe en 1991.",
Premier Quartier,2007-09-19,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée mondiale sans voiture,2007-09-22,,Environnement|Société,Lancée en France en 1998 par La Rochelle.,
Début de l'Automne — Équinoxe d'automne,2007-09-23,,Saisons|Astronomie,L'équinoxe d'automne marque le début de l'automne.,
Pleine Lune,2007-09-26,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale du cacao et du chocolat,2007-10-01,,Gastronomie|Culture,Célébrée le 1er octobre et associée à l'Organisation internationale du cacao (ICCO).,
Lancement d'Octobre Rose,2007-10-01,,Santé,Tout octobre est dédié à la sensibilisation au cancer du sein.,
Dernier Quartier,2007-10-03,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nuit Blanche,2007-10-06,,Culture,Initiée à Paris en 2002 par le maire Bertrand Delanoë.,
Fête des Grands-Pères,2007-10-07,,Fêtes|Culture,"Créée en 2008, elle a lieu chaque premier dimanche d'octobre.",
Semaine du Goût,2007-10-08,,Gastronomie|Culture,Créée en 1990 par le chef Joël Robuchon.,
Journée mondiale de la santé mentale,2007-10-10,,Santé|Société,Créée par la Fédération Mondiale pour la Santé Mentale en 1992.,
Nouvelle Lune,2007-10-11,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée mondiale de l'alimentation,2007-10-16,,Gastronomie|Société|Santé,Commémore la fondation de la FAO le 16 octobre 1945.,
Premier Quartier,2007-10-19,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2007-10-26,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Passage à l'heure d'hiver,2007-10-28,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres reculent d'une heure (3h → 2h).",
Halloween,2007-10-31,,Culture|Fêtes,Fête d'origine celtique (la nuit de Samain) christianisée puis popularisée par la diaspora irlandaise.,
Dernier Quartier,2007-11-01,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée nationale de l'arbre,2007-11-01,,Environnement,Célébrée chaque premier jeudi de novembre.,
Lancement du Mois sans Tabac,2007-11-01,,Santé,Lancé en France en 2016 par Santé Publique France.,
Toussaint,2007-11-01,,Jours fériés|Christianisme,"Fête de tous les saints, instituée par le pape Grégoire IV en 835. En France, la tradition de fleurir les tombes avec des chrysanthèmes s'est greffée dessus — ces fleurs sont désormais intimement liées à ce jour.",
Pont possible — Toussaint,2007-11-02,,Ponts / Congés,Toussaint tombe un jeudi le 01/11/2007. Le vendredi 02/11/2007 est un pont potentiel — vérifiez auprès de votre employeur.,
Nouvelle Lune,2007-11-10,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Armistice 1918,2007-11-11,,Jours fériés,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale après quatre ans de combats. Jour férié depuis 1922. Chaque commune française a son monument aux morts — 36 000 érigés entre 1920 et 1925.",
Armistice de 1918 — Journée du Souvenir,2007-11-11,,Jours fériés|Mémoire|Dates spéciales,"Le 11 novembre 1918 à 11h, l'armistice met fin à la Première Guerre mondiale.",
Beaujolais Nouveau,2007-11-15,,Gastronomie|Culture|Commercial,"Chaque troisième jeudi de novembre, le Beaujolais Nouveau est mis en vente.",
Premier Quartier,2007-11-17,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journée internationale des droits de l'enfant,2007-11-20,,Société,Commémore l'adoption de la Convention des Nations Unies relative aux droits de l'enfant.,
Pleine Lune,2007-11-24,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Fête de la Bretagne,2007-11-30,,Culture|Société,Célébrée le 30 novembre (Saint-André) depuis les années 1990.,
Dernier Quartier,2007-12-01,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale des personnes handicapées,2007-12-03,,Société,Instaurée par l'ONU en 1992.,
Journée mondiale du Bénévolat,2007-12-05,,Société,Créée par l'ONU en 1985.,
Saint-Nicolas,2007-12-06,,Christianisme|Culture|Fêtes,"Fête de Nicolas de Myre, évêque du IVe siècle devenu patron des enfants.",
Journée de la Laïcité,2007-12-09,,Société|Dates spéciales,Commémore la loi du 9 décembre 1905 séparant les Églises de l'État.,
Nouvelle Lune,2007-12-09,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2007-12-17,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Début de l'Hiver — Solstice d'hiver,2007-12-22,,Saisons|Astronomie,Le solstice d'hiver est le jour le plus court de l'année.,
Jour le plus court de l'année,2007-12-22,,Saisons|Astronomie,Le 22 December est le jour le plus court de l'année 2007.,
Pleine Lune,2007-12-24,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Pont possible — Noël,2007-12-24,,Ponts / Congés,Noël tombe un mardi le 25/12/2007. Le lundi 24/12/2007 est un pont potentiel — vérifiez auprès de votre employeur.,
Noël,2007-12-25,,Jours fériés|Christianisme|Fêtes,"Célèbre la naissance du Christ. La date du 25 décembre a été fixée au IVe siècle sur une fête solaire romaine préexistante. Le sapin, la bûche et les cadeaux sont des traditions popularisées bien plus tard, au XIXe siècle.",
Saint-Étienne,2007-12-26,,Jours fériés|Christianisme,"Le 26 décembre est férié uniquement en Alsace-Moselle (depts 57, 67, 68). Fête de saint Étienne, premier martyr chrétien.",AM
Dernier Quartier,2007-12-31,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Dernier jour de l'année,2007-12-31,,Dates spéciales,Clôture de l'année civile 2007.,
Pont possible — Jour de l'an,2007-12-31,,Ponts / Congés,Jour de l'an tombe un mardi le 01/01/2008. Le lundi 31/12/2007 est un pont potentiel — vérifiez auprès de votre employeur.,
Saint-Sylvestre / Réveillon du Nouvel An,2007-12-31,,Fêtes|Culture,"Dernier jour de l'année, nommé d'après le pape Sylvestre Ier mort ce jour en 335.",
Jour de l'an,2008-01-01,,Jours fériés,Premier jour de l'année civile grégorienne. La tradition des vœux existe depuis l'Antiquité romaine. Le gui porte-bonheur vient d'une coutume druidique bien antérieure au christianisme.,
Épiphanie,2008-01-06,,Christianisme|Culture|Gastronomie,"Célèbre la visite des Rois Mages à Jésus, 12 jours après Noël.",
Nouvelle Lune,2008-01-08,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2008-01-15,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2008-01-22,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée internationale de l'Éducation,2008-01-24,,Éducation|Société,Proclamée par l'ONU en 2019.,
Journée nationale de la Mémoire de la Shoah,2008-01-27,,Mémoire|Société,Commémore la libération du camp d'Auschwitz le 27 janvier 1945.,
Dernier Quartier,2008-01-30,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Chandeleur,2008-02-02,,Culture|Christianisme|Gastronomie,"Fête de la Présentation de Jésus au Temple, 40 jours après Noël.",
Journée mondiale des zones humides,2008-02-02,,Environnement,Commémore la Convention de Ramsar signée le 2 février 1971.,
Journée mondiale contre le cancer,2008-02-04,,Santé,Initiée par l'Union Internationale Contre le Cancer depuis 2000.,
Mardi Gras,2008-02-05,,Christianisme|Culture|Fêtes,"Dernier jour avant le Carême, où la tradition voulait qu'on fasse bombance avant l'abstinence.",
Début du Carême,2008-02-06,,Christianisme,"Le Carême commence le Mercredi des Cendres, 46 jours avant Pâques.",
Nouvelle Lune,2008-02-07,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2008-02-14,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Saint-Valentin,2008-02-14,,Fêtes|Culture,Fête des amoureux le 14 février.,
Pleine Lune,2008-02-21,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Salon de l'Agriculture — Ouverture,2008-02-23,,Gastronomie|Agriculture|Culture,Le Salon International de l'Agriculture se tient chaque fin février à Paris.,
Dernier Quartier,2008-02-29,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Jour supplémentaire (année bissextile),2008-02-29,,Dates spéciales,"Une année solaire dure 365,2422 jours. 2008 est l'une des années rares à 366 jours.",
Fête des Grands-Mères,2008-03-02,,Fêtes|Culture,Créée en 1987 par la marque de café Grand'Mère.,
Nouvelle Lune,2008-03-07,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée internationale des femmes,2008-03-08,,Société,Issue des luttes ouvrières du début du XXe siècle en Europe et aux États-Unis.,
Premier Quartier,2008-03-14,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Dimanche des Rameaux,2008-03-16,,Christianisme,Ouvre la Semaine Sainte en rappelant l'entrée triomphale de Jésus à Jérusalem.,
Saint-Patrick,2008-03-17,,Culture|Fêtes,"Fête nationale irlandaise le 17 mars, commémorant la mort de saint Patrick (461).",
Début du Printemps — Équinoxe de printemps,2008-03-20,,Saisons|Astronomie,L'équinoxe de printemps marque le début astronomique du printemps.,
Journée nationale de lutte contre les discriminations,2008-03-21,,Société,Créée par l'ONU en 1966 en mémoire du massacre de Sharpeville.,
Pleine Lune,2008-03-21,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Vendredi Saint,2008-03-21,,Jours fériés|Christianisme,"Commémore la crucifixion du Christ. Jour férié uniquement en Alsace-Moselle (départements 57, 67, 68) en vertu du régime concordataire.",AM
Vendredi Saint,2008-03-21,,Christianisme,Commémore la crucifixion du Christ. Non férié en France depuis la loi de 1905 — sauf en Alsace-Moselle.,
Journée mondiale de l'eau,2008-03-22,,Environnement|Société,Proclamée par l'ONU en 1993.,
Pâques,2008-03-23,,Christianisme,Fête chrétienne célébrant la résurrection du Christ. Sa date varie chaque année car elle suit le calendrier lunaire.,
Lundi de Pâques,2008-03-24,,Jours fériés|Christianisme,"Jour férié qui prolonge le dimanche de Pâques. La tradition des œufs vient du Carême : l'Église interdisait d'en manger pendant 40 jours, on offrait donc à Pâques ceux accumulés.",
Dernier Quartier,2008-03-29,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Passage à l'heure d'été,2008-03-30,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres avancent d'une heure (2h → 3h).",
Poisson d'avril,2008-04-01,,Culture,Journée des farces et des canulars.,
Nouvelle Lune,2008-04-06,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Journée mondiale de la Santé,2008-04-07,,Santé,Commémore la fondation de l'OMS le 7 avril 1948.,
Premier Quartier,2008-04-12,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2008-04-20,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Jour de la Terre,2008-04-22,,Environnement|Société,Né le 22 avril 1970 après une marée noire en Californie.,
